hhid,personid,trip_num,gender,age,hhincome_broad,transit_freq,traveldate,count_of_legs,o_name_across_legs_string,d_name_across_legs_string,d_purpose_across_legs_string,o_name_recode_linked,o_address_recode_2_linked,o_lat_recode_2_linked,o_lng_recode_2_linked,origin_county_linked,origin_town_linked,origin_bg_geoid_linked,o_geoid,d_name_linked,d_address_recode_linked,d_lat_recode_linked,d_lng_recode_linked,destination_county_recode_linked,destination_town_recode_linked,destination_bg_geoid_recode_linked,d_geoid,departure_time_linked,arrival_time_linked,weekday,departure_time_hhmm_linked,arrival_time_hhmm_linked,departure_hour_linked,arrival_hour_linked,reported_duration_linked_recode,travelers_hh_linked,travelers_nonhh_linked,o_purpose_recode_3_linked,d_purpose_recode_3_linked,t_purpose_recode_linked,primary_mode_linked,primary_mode_category_linked,mode_across_legs_string,transit_access_linked,transit_egress_linked,transit_cost_linked,transit_pay_linked_recode,transit_transfers_llinked,transit_system_linked,transit_line_linked,gdistance_linked,gduration_linked,O_to_D,gis_duration,path_details
16229340,1622934001,1,1,32,3,2,5/18/2016,2,"HOME-PARK AND RIDE ON CEDAR STREET IN NEWINGTON","PARK AND RIDE ON CEDAR STREET IN NEWINGTON-WORK",18.0-2.0,"HOME","155 Redstone Hill Rd #84, Bristol, CT 06010, USA",41.6581294,-72.9089617,Hartford County,Bristol,90034054023,34054023,"WORK","740 Main St, Hartford, CT 06103, USA",41.76530615,-72.67312825,Hartford County,Hartford,90035021002,35021002,220,265,Wednesday,6:40,7:25,6,7,45,1,5,1,2,HBW,9,6,3.0-9.0,Bike,Walk,-99,1,0,9,126,20.65872164,30,034054023-035021002,,101 Hartford/New Britain
16155303,1615530301,9,1,28,3,2,4/7/2016,2,"DUNKIN DONUTS NEW BRITIAN-NEW BRITIAN FASTTRACK","NEW BRITIAN FASTTRACK-MANCHESTER CVS",18.0-6.0,"DUNKIN DONUTS NEW BRITIAN","1537 Stanley St., New Britain, CT 06053, United States",41.6881149,-72.7698523,Hartford County,New Britain,90034172001,34172001,"MANCHESTER CVS","972 Silver Ln, East Hartford, CT 06118, United States",41.7661997,-72.6014505,Hartford County,East Hartford,90035105001,35105001,1070,1150,Thursday,20:50,22:10,20,22,80,1,0,5,6,NHB,9,6,9.0-9.0,walk,Walk,-99,1,1,9.0-9.0,130.0-128.0,13.65835595,26,034172001-035105001,,140 CCSU Shuttle< >121 MCC/Hartford/UConn Health
16202688,1620268802,7,2,28,5,7,4/19/2016,4,"SCHOOL-BUS STOP 1-BUS STOP 2-BUS STOP 3","BUS STOP 1-BUS STOP 2-BUS STOP 3-WALKED TO MEET WIFE",18.0-18.0-18.0-97.0,"SCHOOL","1615 Stanley St, New Britain, CT 06053, United States",41.6906682,-72.7665496,Hartford County,New Britain,90034173001,34173001,"WALKED TO MEET WIFE","Park Rd & Oakwood Ave, West Hartford, CT 06119, USA",41.7579299,-72.7224296,Hartford County,West Hartford,90034969003,34969003,1020,1085,Tuesday,20:00,21:05,20,21,65,1,0,4,97,NHB,9,6,1.0-9.0-9.0-1.0,walk,Walk,-99,2,1,9.0-1.0,130.0-33.0,6.753681399,18,034173001-034969003,50.06,140 CCSU Shuttle< >69 Capitol Ave
16107111,1610711101,10,1,47,5,4,5/10/2016,3,"WORK-CTFASTRAK, CEDAR STREET STATION, NEWINGTON, CT-CTFASTRAK, PARKVILLE STATION, HARTFORD, CT","CTFASTRAK, CEDAR STREET STATION, NEWINGTON, CT-CTFASTRAK, PARKVILLE STATION, HARTFORD, CT-HOME",18.0-18.0-1.0,"WORK","1615 Stanley St, New Britain, CT 06053, United States",41.6906682,-72.7665496,Hartford County,New Britain,90034173001,34173001,"HOME","214 Beacon St, Hartford, CT 06105, USA",41.7649579,-72.7145563,Hartford County,Hartford,90035245011,35245011,995,1030,Tuesday,19:35,20:10,19,20,35,1,0,2,1,HBW,9,6,2.0-9.0-2.0,walk,Walk,1,2,0,9,126,9.365925083,23,034173001-035245011,55.76,101 Hartford/New Britain
16225790,1622579001,4,2,63,2,6,5/18/2016,2,"LUNCH AT UCONN CAFETERIA-DOWNTOWN HARTFORD","DOWNTOWN HARTFORD-WESTFARMS MALL",18.0-7.0,"LUNCH AT UCONN CAFETERIA","263 Farmington Ave, Farmington, CT 06032, USA",41.73081722,-72.79041835,Hartford County,Farmington,90034601001,34601001,"WESTFARMS MALL","1500 New Britain Ave, West Hartford, CT 06110, USA",41.7230942,-72.7617619,Hartford County,West Hartford,90034962004,34962004,725,795,Wednesday,15:05,16:15,15,16,70,1,0,9,7,NHB,9,6,9.0-9.0,transfer,transfer,-99,1,1,9.0-9.0,128.0-129.0,16.6956174,29,034601001-034962004,51.63,121 MCC/Hartford/UConn Health< >128 Hartford/Westfarms-New Britain via Stanley St
16234178,1623417801,5,2,60,2,4,5/26/2016,2,"ARRIVED FOR MY DRS APPT-LEFT DR APPT BOARD FASTTRACK","LEFT DR APPT BOARD FASTTRACK-GOT OFF FAST TRACK WENT TO STOP & SHOP",18.0-6.0,"ARRIVED FOR MY DRS APPT","263 Farmington Ave, Farmington, CT 06030, United States",41.7307985,-72.7902844,Hartford County,Farmington,90034601001,34601001,"GOT OFF FAST TRACK WENT TO STOP & SHOP","150 New Park Ave, Hartford, CT 06106, United States",41.7518237,-72.7085682,Hartford County,Hartford,90035043001,35043001,720,770,Thursday,15:00,15:50,15,15,50,1,0,13,6,NHB,9,6,9.0-9.0,walk,Walk,6,2,1,1.0-1.0,27.0-2.0,7.03391972,14,034601001-035043001,34.405,60 Farmington Ave/West Hartford Center< >31 Park St - New Park Ave
16225790,1622579001,7,2,63,2,6,5/18/2016,2,"ASPEN DENTAL IN FARMINGTON-DOWNTOWN HARTFORD","DOWNTOWN HARTFORD-WENT TO CHURCH ON BLUE HILLS AVE.",18.0-16.0,"ASPEN DENTAL IN FARMINGTON","1600 SE Rd, Farmington, CT 06032, USA",41.7161836,-72.7655039,Hartford County,Farmington,90034601002,34601002,"WENT TO CHURCH ON BLUE HILLS AVE.","159 Blue Hills Ave, Hartford, CT 06112, USA",41.7884126,-72.6984806,Hartford County,Hartford,90035040002,35040002,835,930,Wednesday,16:55,18:30,16,18,95,1,0,13,16,NHB,9,6,9.0-9.0,7,transfer,-99,1,1,9.0-1.0,129.0-22.0,10.90319694,24,034601002-035040002,,128 Hartford/Westfarms-New Britain via Stanley St< >54 Blue Hills Ave - Blue Hills Extension
16155826,1615582602,1,2,62,5,4,4/7/2016,3,"HOME-COMMUTER LOT-BUS STOP","COMMUTER LOT-BUS STOP-WORK",18.0-18.0-2.0,"HOME","21 Alder Rd, Simsbury, CT 06070, USA",41.8959146,-72.821113,Hartford County,Simsbury,90034663003,34663003,"WORK","280 Trumbull St, Hartford, CT 06103, USA",41.7685332,-72.6748402,Hartford County,Hartford,90035021001,35021001,300,360,Thursday,8:00,9:00,8,9,60,1,0,1,2,HBW,9,6,3.0-9.0-1.0,Bike,Walk,3,2,0,10,150,14.7028806,35,034663003-035021001,,912 Simsbury-Granby Express (express)
16131454,1613145401,1,1,27,5,2,3/15/2016,3,"HOME-1095 KENNEDY RD, WINDSOR, CT-1 UNION PL, HARTFORD, CT","1095 KENNEDY RD, WINDSOR, CT-1 UNION PL, HARTFORD, CT-WORK",18.0-18.0-2.0,"HOME","93 Fox Hollow Dr, Windsor Locks, CT 06096, USA",41.9176946,-72.6639621,Hartford County,Windsor Locks,90034763001,34763001,"WORK","1 Hartford Plaza, Hartford, CT 06105, USA",41.769703,-72.6869808,Hartford County,Hartford,90035246002,35246002,235,270,Tuesday,6:55,7:30,6,7,35,2,0,1,2,HBW,9,6,3.0-9.0-1.0,Bike,Walk,-99,1,0,1,1,12.58959783,23,034763001-035246002,,30 Bradley Flyer
16159745,1615974502,1,1,33,5,2,5/25/2016,2,"HOME-COMMUTER PARKING LOG","COMMUTER PARKING LOG-WORK",18.0-3.0,"HOME","Hazard Ave & Webster Rd, Enfield, CT 06082, USA",41.9852113,-72.5072375,Hartford County,Enfield,90034809002,34809002,"WORK","The Gold Building, Hartford, CT 06103, USA",41.76545019,-72.67390609,Hartford County,Hartford,90035021001,35021001,275,315,Wednesday,7:35,8:15,7,8,40,1,5,1,3,HBW,9,6,3.0-9.0,Bike,Walk,-99,1,0,10,145,23.02614515,32,034809002-035021001,,905 Enfield-Somers/Windsor Locks Express (express)
