service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
3_merged_914619,20160911,20161231,0,0,0,0,0,0,1
8403_merged_914624,20160911,20161231,0,0,0,0,0,0,0
4_merged_914613,20160301,20160910,0,0,0,0,0,0,0
8402_merged_914615,20160515,20160910,0,0,0,0,0,0,0
8404_merged_914617,20160515,20160910,0,0,0,0,0,0,0
8401_merged_914614,20160515,20160910,0,0,0,0,0,0,0
8404_merged_914625,20160911,20161231,0,0,0,0,0,0,0
8403_merged_914616,20160515,20160910,0,0,0,0,0,0,0
4_merged_914621,20160911,20161231,0,0,0,0,0,0,0
1_merged_914618,20160911,20161231,1,1,1,1,1,0,0
3_merged_914611,20160301,20160910,0,0,0,0,0,0,1
2_merged_914620,20160911,20161231,0,0,0,0,0,1,0
8402_merged_914623,20160911,20161231,0,0,0,0,0,0,0
8401_merged_914622,20160911,20161231,0,0,0,0,0,0,0
2_merged_914612,20160301,20160910,0,0,0,0,0,1,0
1_merged_914610,20160301,20160910,1,1,1,1,1,0,0
