service_id,date,exception_type
8403_merged_914624,20161230,1
4_merged_914613,20160704,1
4_merged_914613,20160530,1
8402_merged_914615,20160706,1
8404_merged_914617,20160708,1
8401_merged_914614,20160705,1
8404_merged_914625,20161231,1
8403_merged_914616,20160707,1
4_merged_914621,20161124,1
4_merged_914621,20161226,1
1_merged_914618,20161124,2
1_merged_914618,20161226,2
8402_merged_914623,20161229,1
8401_merged_914622,20161228,1
1_merged_914610,20160704,2
1_merged_914610,20160530,2
