taz,stop_id,stop_name,dist,time
90034001002,7931,Farmington Park and Ride Lot and Town Farm Rd,9.381647755,14.07247163
90034001002,7924,Cromwell Park and Ride Lot and Industrail Park Rd,2.149216349,3.223824524
90034001002,7911,St Paul's Park and Ride and Wells St,9.792578996,14.68886849
90034001002,7901,Saint Augustine Church and Hopewell Rd,8.432247451,12.64837118
90034001002,7595,Village Square Dr and Corbins Commuter Lot,6.764483173,10.14672476
90034001002,7554,Newington ParkandRide and Berlin Tpke,4.124620229,6.186930344
90034001002,12376,Batterson Park Rd and Park and Ride Lot,7.065546043,10.59831906
90034001002,12249,Todd St PandR and Todd St,9.178246047,13.76736907
90034001002,10707,Highland Ave and Mildale Park and Ride,8.354555767,12.53183365
90034001002,10706,S Main St and Plantsville Park and Ride Lot,8.304358116,12.45653717
90034001002,10704,Lake Ave and Bristol Park and Ride Lot,9.797210198,14.6958153
90034001002,10685,Eastern Dr and Silver St Park and Ride Lot,7.093961498,10.64094225
90034001002,10668,Bee Park and Ride Lot and Bee St,5.315269007,7.972903511
90034001002,10643,Country Club Rd and Country Club Park and Ride Lot,3.160380393,4.74057059
90034001002,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,8.481633148,12.72244972
90034051002,8029,ST Mary's Church and Main St,6.265372718,9.398059077
90034051002,7931,Farmington Park and Ride Lot and Town Farm Rd,6.617535623,9.926303435
90034051002,7595,Village Square Dr and Corbins Commuter Lot,9.082327184,13.62349078
90034051002,12376,Batterson Park Rd and Park and Ride Lot,7.383950563,11.07592584
90034051002,12249,Todd St PandR and Todd St,1.619488725,2.429233088
90034051002,10708,Waterbury Rd Park and ride Lot and Waterbury Rd,9.29894389,13.94841584
90034051002,10707,Highland Ave and Mildale Park and Ride,8.370739672,12.55610951
90034051002,10706,S Main St and Plantsville Park and Ride Lot,7.426875033,11.14031255
90034051002,10704,Lake Ave and Bristol Park and Ride Lot,1.056246991,1.584370487
90034053001,9387,Canton Park and Ride and Albany Tpke,9.807079654,14.71061948
90034053001,8029,ST Mary's Church and Main St,4.520828864,6.781243296
90034053001,7931,Farmington Park and Ride Lot and Town Farm Rd,4.444334229,6.666501344
90034053001,7894,Avon ParkandRide Lot and W Main St,8.384543884,12.57681583
90034053001,7595,Village Square Dr and Corbins Commuter Lot,7.12776992,10.69165488
90034053001,7554,Newington ParkandRide and Berlin Tpke,9.756932682,14.63539902
90034053001,12376,Batterson Park Rd and Park and Ride Lot,5.406318362,8.109477543
90034053001,12249,Todd St PandR and Todd St,1.721113774,2.581670661
90034053001,10707,Highland Ave and Mildale Park and Ride,9.383592138,14.07538821
90034053001,10706,S Main St and Plantsville Park and Ride Lot,8.478425672,12.71763851
90034053001,10704,Lake Ave and Bristol Park and Ride Lot,2.307387348,3.461081022
90034053003,8029,ST Mary's Church and Main St,4.92673689,7.390105335
90034053003,7931,Farmington Park and Ride Lot and Town Farm Rd,4.580982222,6.871473333
90034053003,7894,Avon ParkandRide Lot and W Main St,8.747146405,13.12071961
90034053003,7595,Village Square Dr and Corbins Commuter Lot,7.04359571,10.56539357
90034053003,7554,Newington ParkandRide and Berlin Tpke,9.528018136,14.2920272
90034053003,12376,Batterson Park Rd and Park and Ride Lot,5.331468498,7.997202747
90034053003,12249,Todd St PandR and Todd St,1.323294723,1.984942085
90034053003,10707,Highland Ave and Mildale Park and Ride,8.946918365,13.42037755
90034053003,10706,S Main St and Plantsville Park and Ride Lot,8.046322688,12.06948403
90034053003,10704,Lake Ave and Bristol Park and Ride Lot,2.01555603,3.023334045
90034054023,8029,ST Mary's Church and Main St,7.129521359,10.69428204
90034054023,7931,Farmington Park and Ride Lot and Town Farm Rd,6.493784948,9.740677422
90034054023,7595,Village Square Dr and Corbins Commuter Lot,8.209953351,12.31493003
90034054023,7554,Newington ParkandRide and Berlin Tpke,9.942404201,14.9136063
90034054023,12376,Batterson Park Rd and Park and Ride Lot,6.614133269,9.921199904
90034054023,12347,Hamilton Ave and Hamilton Park and Ride Lot,9.901353905,14.85203086
90034054023,12249,Todd St PandR and Todd St,0.891670101,1.337505152
90034054023,10708,Waterbury Rd Park and ride Lot and Waterbury Rd,8.337106224,12.50565934
90034054023,10707,Highland Ave and Mildale Park and Ride,6.841409218,10.26211383
90034054023,10706,S Main St and Plantsville Park and Ride Lot,5.918747416,8.878121124
90034054023,10704,Lake Ave and Bristol Park and Ride Lot,0.827844763,1.241767145
90034056004,8029,ST Mary's Church and Main St,7.582796696,11.37419504
90034056004,7931,Farmington Park and Ride Lot and Town Farm Rd,8.198248941,12.29737341
90034056004,12376,Batterson Park Rd and Park and Ride Lot,8.936424896,13.40463734
90034056004,12347,Hamilton Ave and Hamilton Park and Ride Lot,8.938875055,13.40831258
90034056004,12249,Todd St PandR and Todd St,2.974288146,4.461432219
90034056004,10708,Waterbury Rd Park and ride Lot and Waterbury Rd,8.456308278,12.68446242
90034056004,10707,Highland Ave and Mildale Park and Ride,8.139207218,12.20881083
90034056004,10706,S Main St and Plantsville Park and Ride Lot,7.202113781,10.80317067
90034056004,10704,Lake Ave and Bristol Park and Ride Lot,2.109334061,3.164001092
90034057002,8029,ST Mary's Church and Main St,6.68821093,10.0323164
90034057002,7931,Farmington Park and Ride Lot and Town Farm Rd,7.310203311,10.96530497
90034057002,7595,Village Square Dr and Corbins Commuter Lot,9.850526121,14.77578918
90034057002,12376,Batterson Park Rd and Park and Ride Lot,8.148918221,12.22337733
90034057002,12347,Hamilton Ave and Hamilton Park and Ride Lot,9.805028691,14.70754304
90034057002,12249,Todd St PandR and Todd St,2.354462576,3.531693864
90034057002,10708,Waterbury Rd Park and ride Lot and Waterbury Rd,9.138506129,13.70775919
90034057002,10707,Highland Ave and Mildale Park and Ride,8.515248025,12.77287204
90034057002,10706,S Main St and Plantsville Park and Ride Lot,7.56974936,11.35462404
90034057002,10704,Lake Ave and Bristol Park and Ride Lot,1.635309472,2.452964208
90034153001,8029,ST Mary's Church and Main St,8.986256986,13.47938548
90034153001,7931,Farmington Park and Ride Lot and Town Farm Rd,5.592079556,8.388119334
90034153001,7924,Cromwell Park and Ride Lot and Industrail Park Rd,5.595408228,8.393112342
90034153001,7911,St Paul's Park and Ride and Wells St,8.842540587,13.26381088
90034153001,7901,Saint Augustine Church and Hopewell Rd,8.824740685,13.23711103
90034153001,7595,Village Square Dr and Corbins Commuter Lot,3.035865854,4.553798781
90034153001,7554,Newington ParkandRide and Berlin Tpke,2.75552804,4.13329206
90034153001,209,Main St and Putnam Plaza Park and Ride,8.987368786,13.48105318
90034153001,12376,Batterson Park Rd and Park and Ride Lot,3.210977802,4.816466703
90034153001,12249,Todd St PandR and Todd St,6.993568456,10.49035268
90034153001,10707,Highland Ave and Mildale Park and Ride,9.608588018,14.41288203
90034153001,10706,S Main St and Plantsville Park and Ride Lot,9.174006758,13.76101014
90034153001,10704,Lake Ave and Bristol Park and Ride Lot,7.823568192,11.73535229
90034153001,10668,Bee Park and Ride Lot and Bee St,8.84765987,13.27148981
90034153001,10643,Country Club Rd and Country Club Park and Ride Lot,7.029940284,10.54491043
90034153001,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,6.407078948,9.610618422
90034153001,7709,N Main St and Whole Foods Supermaket,8.242973812,12.36446072
90034153001,7578,N Main St and Marshalls,8.177170233,12.26575535
90034153002,8029,ST Mary's Church and Main St,9.18027084,13.77040626
90034153002,7931,Farmington Park and Ride Lot and Town Farm Rd,5.779341906,8.669012859
90034153002,7924,Cromwell Park and Ride Lot and Industrail Park Rd,5.408359558,8.112539337
90034153002,7911,St Paul's Park and Ride and Wells St,8.742490251,13.11373538
90034153002,7901,Saint Augustine Church and Hopewell Rd,8.670741612,13.00611242
90034153002,7595,Village Square Dr and Corbins Commuter Lot,3.147108287,4.720662431
90034153002,7554,Newington ParkandRide and Berlin Tpke,2.611423838,3.917135757
90034153002,209,Main St and Putnam Plaza Park and Ride,8.906646915,13.35997037
90034153002,12376,Batterson Park Rd and Park and Ride Lot,3.389854537,5.084781806
90034153002,12249,Todd St PandR and Todd St,7.15632591,10.73448887
90034153002,10707,Highland Ave and Mildale Park and Ride,9.621353477,14.43203022
90034153002,10706,S Main St and Plantsville Park and Ride Lot,9.204324851,13.80648728
90034153002,10704,Lake Ave and Bristol Park and Ride Lot,7.980313242,11.97046986
90034153002,10668,Bee Park and Ride Lot and Bee St,8.727535115,13.09130267
90034153002,10643,Country Club Rd and Country Club Park and Ride Lot,6.869815426,10.30472314
90034153002,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,6.359904368,9.539856552
90034153002,7709,N Main St and Whole Foods Supermaket,8.338548931,12.5078234
90034153002,7578,N Main St and Marshalls,8.272701239,12.40905186
90034154002,8029,ST Mary's Church and Main St,9.450397656,14.17559648
90034154002,7931,Farmington Park and Ride Lot and Town Farm Rd,6.011040366,9.016560549
90034154002,7924,Cromwell Park and Ride Lot and Industrail Park Rd,5.198610189,7.797915284
90034154002,7911,St Paul's Park and Ride and Wells St,8.391825296,12.58773794
90034154002,7901,Saint Augustine Church and Hopewell Rd,8.288336869,12.4325053
90034154002,7595,Village Square Dr and Corbins Commuter Lot,3.164287475,4.746431213
90034154002,7554,Newington ParkandRide and Berlin Tpke,2.232537634,3.348806451
90034154002,209,Main St and Putnam Plaza Park and Ride,8.57553625,12.86330438
90034154002,12376,Batterson Park Rd and Park and Ride Lot,3.592993955,5.389490933
90034154002,12249,Todd St PandR and Todd St,7.538385063,11.30757759
90034154002,10707,Highland Ave and Mildale Park and Ride,9.877470363,14.81620554
90034154002,10706,S Main St and Plantsville Park and Ride Lot,9.484852658,14.22727899
90034154002,10704,Lake Ave and Bristol Park and Ride Lot,8.362945331,12.544418
90034154002,10668,Bee Park and Ride Lot and Bee St,8.733890909,13.10083636
90034154002,10643,Country Club Rd and Country Club Park and Ride Lot,6.766370858,10.14955629
90034154002,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,6.072226585,9.108339878
90034154002,7709,N Main St and Whole Foods Supermaket,8.299438287,12.44915743
90034154002,7578,N Main St and Marshalls,8.233594095,12.35039114
90034156001,8029,ST Mary's Church and Main St,9.093923521,13.64088528
90034156001,7931,Farmington Park and Ride Lot and Town Farm Rd,5.826736443,8.740104665
90034156001,7924,Cromwell Park and Ride Lot and Industrail Park Rd,5.460394041,8.190591062
90034156001,7911,St Paul's Park and Ride and Wells St,9.514054415,14.27108162
90034156001,7901,Saint Augustine Church and Hopewell Rd,9.338800667,14.008201
90034156001,7595,Village Square Dr and Corbins Commuter Lot,3.668349822,5.502524733
90034156001,7554,Newington ParkandRide and Berlin Tpke,3.328295406,4.992443109
90034156001,209,Main St and Putnam Plaza Park and Ride,9.690874337,14.53631151
90034156001,12376,Batterson Park Rd and Park and Ride Lot,3.559074481,5.338611722
90034156001,12249,Todd St PandR and Todd St,6.558460978,9.837691467
90034156001,10707,Highland Ave and Mildale Park and Ride,8.857002234,13.28550335
90034156001,10706,S Main St and Plantsville Park and Ride Lot,8.425378079,12.63806712
90034156001,10704,Lake Ave and Bristol Park and Ride Lot,7.353222799,11.0298342
90034156001,10668,Bee Park and Ride Lot and Bee St,8.300412358,12.45061854
90034156001,10643,Country Club Rd and Country Club Park and Ride Lot,6.667213074,10.00081961
90034156001,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,7.145497154,10.71824573
90034156001,7709,N Main St and Whole Foods Supermaket,8.889960877,13.33494132
90034156001,7578,N Main St and Marshalls,8.824349196,13.23652379
90034156002,8029,ST Mary's Church and Main St,9.196233981,13.79435097
90034156002,7931,Farmington Park and Ride Lot and Town Farm Rd,5.940908018,8.911362027
90034156002,7924,Cromwell Park and Ride Lot and Industrail Park Rd,5.364315878,8.046473817
90034156002,7911,St Paul's Park and Ride and Wells St,9.55739223,14.33608835
90034156002,7901,Saint Augustine Church and Hopewell Rd,9.340737291,14.01110594
90034156002,7595,Village Square Dr and Corbins Commuter Lot,3.788903549,5.683355324
90034156002,7554,Newington ParkandRide and Berlin Tpke,3.35152105,5.027281575
90034156002,209,Main St and Putnam Plaza Park and Ride,9.745846465,14.6187697
90034156002,12376,Batterson Park Rd and Park and Ride Lot,3.68084696,5.52127044
90034156002,12249,Todd St PandR and Todd St,6.584684794,9.877027191
90034156002,10707,Highland Ave and Mildale Park and Ride,8.767885798,13.1518287
90034156002,10706,S Main St and Plantsville Park and Ride Lot,8.345237926,12.51785689
90034156002,10704,Lake Ave and Bristol Park and Ride Lot,7.371304294,11.05695644
90034156002,10668,Bee Park and Ride Lot and Bee St,8.175770227,12.26365534
90034156002,10643,Country Club Rd and Country Club Park and Ride Lot,6.549906496,9.824859744
90034156002,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,7.218562392,10.82784359
90034156002,7709,N Main St and Whole Foods Supermaket,9.010412681,13.51561902
90034156002,7578,N Main St and Marshalls,8.944780707,13.41717106
90034158001,8029,ST Mary's Church and Main St,8.37962682,12.56944023
90034158001,7931,Farmington Park and Ride Lot and Town Farm Rd,5.094661575,7.641992363
90034158001,7924,Cromwell Park and Ride Lot and Industrail Park Rd,6.16666538,9.24999807
90034158001,7911,St Paul's Park and Ride and Wells St,9.578866314,14.36829947
90034158001,7901,Saint Augustine Church and Hopewell Rd,9.641286861,14.46193029
90034158001,7595,Village Square Dr and Corbins Commuter Lot,3.122718839,4.684078259
90034158001,7554,Newington ParkandRide and Berlin Tpke,3.567361912,5.351042868
90034158001,209,Main St and Putnam Plaza Park and Ride,9.680730996,14.52109649
90034158001,12376,Batterson Park Rd and Park and Ride Lot,2.841767023,4.262650535
90034158001,12249,Todd St PandR and Todd St,6.173389857,9.260084786
90034158001,10707,Highland Ave and Mildale Park and Ride,9.168375473,13.75256321
90034158001,10706,S Main St and Plantsville Park and Ride Lot,8.673196156,13.00979423
90034158001,10704,Lake Ave and Bristol Park and Ride Lot,7.007285072,10.51092761
90034158001,10668,Bee Park and Ride Lot and Bee St,8.982562073,13.47384311
90034158001,10643,Country Club Rd and Country Club Park and Ride Lot,7.398331933,11.0974979
90034158001,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,7.022194538,10.53329181
90034158001,7709,N Main St and Whole Foods Supermaket,8.324310252,12.48646538
90034158001,7578,N Main St and Marshalls,8.25910738,12.38866107
90034162001,8029,ST Mary's Church and Main St,8.144920613,12.21738092
90034162001,7931,Farmington Park and Ride Lot and Town Farm Rd,4.656871541,6.985307312
90034162001,7924,Cromwell Park and Ride Lot and Industrail Park Rd,6.587711718,9.881567577
90034162001,7911,St Paul's Park and Ride and Wells St,8.572827219,12.85924083
90034162001,7901,Saint Augustine Church and Hopewell Rd,8.963107277,13.44466092
90034162001,7894,Avon ParkandRide Lot and W Main St,9.814915944,14.72237392
90034162001,7595,Village Square Dr and Corbins Commuter Lot,1.927467826,2.891201739
90034162001,7554,Newington ParkandRide and Berlin Tpke,2.977469611,4.466204417
90034162001,209,Main St and Putnam Plaza Park and Ride,8.595480993,12.89322149
90034162001,12376,Batterson Park Rd and Park and Ride Lot,2.221329382,3.331994073
90034162001,12249,Todd St PandR and Todd St,6.948918498,10.42337775
90034162001,10706,S Main St and Plantsville Park and Ride Lot,9.940773846,14.91116077
90034162001,10704,Lake Ave and Bristol Park and Ride Lot,7.828109041,11.74216356
90034162001,10668,Bee Park and Ride Lot and Bee St,9.97393618,14.96090427
90034162001,10643,Country Club Rd and Country Club Park and Ride Lot,8.130519343,12.19577901
90034162001,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,5.854729681,8.782094522
90034162001,7709,N Main St and Whole Foods Supermaket,7.148135947,10.72220392
90034162001,7578,N Main St and Marshalls,7.082473397,10.6237101
90034163002,8029,ST Mary's Church and Main St,8.538913022,12.80836953
90034163002,7931,Farmington Park and Ride Lot and Town Farm Rd,5.129849057,7.694773586
90034163002,7924,Cromwell Park and Ride Lot and Industrail Park Rd,6.05786627,9.086799405
90034163002,7911,St Paul's Park and Ride and Wells St,8.902653428,13.35398014
90034163002,7901,Saint Augustine Church and Hopewell Rd,9.044216902,13.56632535
90034163002,7595,Village Square Dr and Corbins Commuter Lot,2.650927038,3.976390557
90034163002,7554,Newington ParkandRide and Berlin Tpke,2.971200131,4.456800197
90034163002,209,Main St and Putnam Plaza Park and Ride,8.99605454,13.49408181
90034163002,12376,Batterson Park Rd and Park and Ride Lot,2.744644805,4.116967208
90034163002,12249,Todd St PandR and Todd St,6.770843277,10.15626492
90034163002,10707,Highland Ave and Mildale Park and Ride,9.793595705,14.69039356
90034163002,10706,S Main St and Plantsville Park and Ride Lot,9.320829005,13.98124351
90034163002,10704,Lake Ave and Bristol Park and Ride Lot,7.621508683,11.43226302
90034163002,10668,Bee Park and Ride Lot and Bee St,9.267087677,13.90063152
90034163002,10643,Country Club Rd and Country Club Park and Ride Lot,7.489989955,11.23498493
90034163002,10641,Wolcott Hill Rd and Wolcott Hill Park and Ride Lot,6.338707099,9.508060649
