stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_name,location_type,zone_id
41.921707,,-72.669982,1718,,,Ella Grasso Tpke and Halfway House Rd,0,
41.7474,,-72.687003,593,,,Broad St and School St,0,
41.789232,,-72.630021,786_merged_914567,,,Ellington Rd and Tiffany Rd,0,
41.832971,,-72.697709,9389,,,Blue Hills Ave and Opp First Cathedral Church,0,
41.786425,,-72.523727,7845,,,Main St and Washington St,0,
41.740209,,-72.653399,643,,,Murphy Rd and Trans Axle,0,
41.789858,,-72.524294,7847,,,Main st and Grove St,0,
41.788267,,-72.524047,7846,,,Main St and Opp Strickland St,0,
41.745925,,-72.687018,592,,,Broad St and Opp Cresent St,0,
41.774076,,-72.521346,7841,,,Main St and Pearl St,0,
41.851431,,-72.642012,1658,,,Mechanic St and R R Station,0,
41.772056,,-72.521003,7840,,,Main St and Bissell St,0,
41.740245,,-72.850216,344,,,Farmington Ave and Opp Grandview Dr,0,
41.736189,,-72.840406,346,,,Farmington Ave and Melrose Dr,0,
41.734321,,-72.836979,347,,,Farmington Ave and Opp Mini-Golf Park,0,
41.743791,,-72.860475,340,,,Farmington Ave and Wannomassa Rd,0,
41.781362,,-72.522089,7843,,,Main St and Opp Haynes St,0,
41.741897,,-72.857011,342,,,Farmington Ave and Lakeview Apts,0,
41.740432,,-72.851536,343,,,Farmington Ave and Bridgewater Rd,0,
41.779582,,-72.521273,7842,,,Main St and Opp Bigelow St,0,
41.732007,,-72.832764,348,,,Farmington Ave and Opp Town Farm Rd,0,
41.725286,,-72.822521,349,,,Farmington Ave and High St,0,
41.727454,,-72.616187,7680,,,Main St and Putnam Plaza Lot,0,
41.748642,,-72.687001,595,,,Broad St and Colonial St,0,
41.924696,,-72.627234,8803,,,S Main St and Elm St,0,
41.805042,,-72.690984,2185,,,Coventry St and E Harold St,0,
41.795918,,-72.655103,12709,,,W Service Rd and Opp Elg Utica Alloys,0,
41.791943,,-72.656519,12708,,,Fishfry St and W Service Rd,0,
41.751149,,-72.682684,2158,,,Retreat Ave and Washington St,0,
41.783502,,-72.699921,2319,,,Albany Ave and Kent St,0,
41.780577,,-72.6968,2316,,,Woodland St and Gate Of Praise,0,
41.84862,,-72.645233,1656,,,Broad St and Batchelder Rd,0,
41.774859,,-72.699343,2314,,,Woodland St and Collins St,0,
41.775422,,-72.699354,2315,,,Woodland St and Opp Ashley St,0,
41.780064,,-72.684938,2312,,,Garden St and Mather St,0,
41.779197,,-72.685219,2313,,,Garden St and 373 Garden St,0,
41.782726,,-72.684036,2310,,,Garden St and Greenfield St,0,
41.781279,,-72.684524,2311,,,Garden St and Opp Pliny St,0,
41.756002,,-72.743699,298,,,S Main St and Boulevard,0,
41.752195,,-72.743813,296,,,S Main St and C V S,0,
41.754063,,-72.74375,297,,,S Main St and Thomson Rd,0,
41.749057,,-72.741624,294,,,Webster Hill Blvd and 50 Webster Hill Blvd,0,
41.751087,,-72.743378,295,,,Webster Hill Blvd and 16 Webster Hill Blvd,0,
41.745544,,-72.740769,292,,,Webster Hill Blvd and Rockledge Dr,0,
41.747671,,-72.741057,293,,,Webster Hill Blvd and Crestwood Rd,0,
41.742005,,-72.74041,290,,,Webster Hill Blvd and Ledgewood Rd,0,
41.74406,,-72.740613,291,,,Webster Hill Blvd and Greystone Rd,0,
41.763058,,-72.737149,270,,,Reservoir Ave and Opp Arnold Way,0,
41.763397,,-72.735356,271,,,Farmington Ave and Outlook Ave,0,
41.763949,,-72.732447,272,,,Farmington Ave and Westfield Rd,0,
41.764332,,-72.730448,273,,,Reservoir Ave and Lancaster Rd,0,
41.764625,,-72.728776,274,,,Farmington Ave and Quaker Ln S,0,
41.764793,,-72.726546,275,,,Farmington Ave and Walkley Rd,0,
41.764953,,-72.724669,276,,,Farmington Ave and Whiting Ln,0,
41.765085,,-72.723021,277,,,Farmington Ave and Arnoldale Rd,0,
41.765235,,-72.72038,278,,,Reservoir Ave and Lexington Rd,0,
41.765376,,-72.718308,279,,,Farmington Ave and Highland St S,0,
41.790257,,-72.633594,738,,,Main St and 1844 Main St,0,
41.735317,,-72.686543,583,,,Maple Ave and Gilman St,0,
41.731753,,-72.688415,580,,,Maple Ave and Opp Griswold St,0,
41.732959,,-72.687759,581,,,Maple Ave and South St,0,
41.730166,,-72.720591,2268,,,New Britain Ave and Shield St,0,
41.730549,,-72.718483,2269,,,New Britain Ave and Hillcrest Avenue,0,
41.76708,,-72.70487,8207,,,Farmington Ave and Opp Owen St,0,
41.729564,,-72.740486,2262,,,Federal St and Florence St,0,
41.757039,,-72.675331,7880,,,Wethersfield Ave and Main St,0,
41.786199,,-72.727061,7883,,,Albany Ave and Norwood Rd,0,
41.727643,,-72.740452,2261,,,Federal St and Elmfield St,0,
41.730636,,-72.726935,2266,,,New Britain Ave and Puritan Furntain,0,
41.729945,,-72.722976,2267,,,New Britain Ave and South St,0,
41.732172,,-72.737504,2264,,,New Britain Ave and Colonial St,0,
41.732501,,-72.734694,2265,,,New Britain Ave and Yale St,0,
41.824215,,-72.721696,2442,,,Park Ave and Opp Revere Dr,0,
41.822881,,-72.717939,2443,,,Park Ave and 451 Park Ave,0,
41.671759,,-72.86585,10709,,,E Main St and Opp Plainville Ctr Library,0,
41.825667,,-72.726398,2441,,,Park Ave and Huckleberry Ln,0,
41.819134,,-72.71609,2446,,,Tyler St and Opp Dale Ave,0,
41.816684,,-72.73794,2447,,,Cottage Grove Rd and Bloomfield Ave,0,
41.822199,,-72.715394,2444,,,Park Ave and Tyler St,0,
41.820823,,-72.715481,2445,,,Tyler St and Opp Rockwell Ave,0,
41.758238,,-72.692239,9524,,,Park St and Opp Zion St,0,
41.76344,,-72.684778,10702,,,Capitol Ave and State Armory,0,
41.816789,,-72.734521,2448,,,Cottage Grove Rd and 701 Cottage Grove Rd,0,
41.816956,,-72.730217,2449,,,Cottage Grove Rd and 600 Apartments,0,
41.73295,,-72.69638,9520,,,Hillside Ave and Linnmoore St,0,
41.702012,,-72.754016,9521,,,Fenn Rd and 190 Fenn Rd,0,
41.702101,,-72.754246,9522,,,Fenn Rd and Opp 190 Fenn Rd,0,
41.932805,,-72.689411,9523,,,Bradley Intl Airport and U S Customs,0,
41.795902,,-72.532934,7867,,,N Main St and 485 N Main St,0,
41.795953,,-72.531746,7866,,,N Main St and Opp McCabe St,0,
41.795938,,-72.529237,7865,,,N Main St and Union St,0,
41.727601,,-72.82671,109,,,Farmington Ave and Farmington Ctr,0,
41.765106,,-72.546171,7862,,,Hartford Rd and Opp Bunce Dr,0,
41.765378,,-72.548084,7861,,,Hartford Rd and Opp Waddell Rd,0,
41.765724,,-72.550664,7860,,,Hartford Rd and Opp House Dr,0,
41.76198,,-72.741511,102,,,Farmington Ave and S Main St,0,
41.762284,,-72.741148,103,,,Reservoir Ave and Bank Of America,0,
41.765535,,-72.7158,100,,,Farmington Ave and Prospect Ave,0,
41.765374,,-72.71597,101,,,Prospect Ave and Farmington Ave,0,
41.738608,,-72.73907,106,,,Boswell Rd and Webster Hill Blvd,0,
41.754344,,-72.76703,107,,,Farmington Ave and Boulevard,0,
41.795381,,-72.539687,7869,,,N Main St and 630 N Main St,0,
41.738921,,-72.739166,105,,,Webster Hill Blvd and Boswell Rd,0,
41.684923,,-72.725742,2046,,,Robbins Ave and Opp Parker St,0,
41.684656,,-72.726977,2047,,,Robbins Ave and Opp Valentine St,0,
41.68602,,-72.722304,2044,,,Robbins Ave and Main St,0,
41.68511,,-72.724846,2045,,,Robbins Ave and Opp Basswood St,0,
41.69005,,-72.721898,2042,,,Main St and Opp Goodale Dr,0,
41.689058,,-72.721706,2043,,,Main St and Opp Cheney Ln,0,
41.691972,,-72.722246,2040,,,Main St and Opp Centerwood Rd,0,
41.783202,,-72.52545,3152,,,Middle Tpke W and Oxford St,0,
41.716329,,-72.881842,9432,,,Plainville Ave and Opp Cope Farms Rd,0,
41.783743,,-72.51997,3151,,,Middle Tpke E and Summit St,0,
41.684336,,-72.728453,2048,,,Robbins Ave and Opp Florence St,0,
41.758608,,-72.887483,9433,,,Main St and 22 Main St,0,
41.734303,,-72.836567,9410,,,Farmington Ave and Mini Golf Park,0,
41.734848,,-72.837947,9411,,,Farmington Ave and Star Meadow,0,
41.73643,,-72.840442,9412,,,Farmington Ave and Opp Melrose Dr,0,
41.69272,,-72.675083,9413,,,Prospect St and Opp Olney Rd,0,
41.688836,,-72.703167,9414,,,Prospect St and Back Ln,0,
41.739638,,-72.846268,9415,,,Farmington Ave and Worthington Dr,0,
41.739459,,-72.84634,9416,,,Farmington Ave and Opp Worthington Dr,0,
41.780903,,-72.53988,3157,,,Middle Tpke W and Tower Rd,0,
41.690233,,-72.770898,10635,,,Stanley St and Opp C C S U,0,
41.730369,,-72.201769,10634,,,S FrontagePark and Ride Lot and S Frontage Rd,0,
41.751871,,-72.681095,2159,,,Retreat Ave and Opp Seymour St,0,
41.721071,,-72.202905,10632,,,Jackson St and Ash St,0,
41.712107,,-72.214098,10631,,,Main St and 790 Main St,0,
41.781484,,-72.536012,3156,,,Middle Tpke W and CVS,0,
41.90932,,-72.678993,9616,,,Poquonock Ave and Rainbow Rd,0,
41.746669,,-72.67321,2839,,,Wethersfield Ave and Elliott St,0,
41.998856,,-72.594993,11948,,,N Main St and Enfield Green,0,
41.909212,,-72.678763,9617,,,Poquonock Ave and Rainbow Rd,0,
42.005101,,-72.592662,11946,,,Enfield St and Enfield Plaza,0,
42.002277,,-72.593438,11947,,,Enfield St and Alden Ave,0,
42.011664,,-72.593698,11944,,,Enfield St and Woodlawn Ave,0,
42.009331,,-72.59356,11945,,,Enfield St and Cook Ave,0,
42.017642,,-72.592146,11942,,,Enfield St and Manning Rd,0,
41.914009,,-72.675717,9614,,,Poquonock Ave and High St,0,
42.01973,,-72.589999,11940,,,Enfield St and Bernardino Ave,0,
42.019856,,-72.590169,11941,,,Enfield St and Bernardino Ave,0,
41.866586,,-72.605272,9638,,,John Fitch Blvd and Opp Scantic Rd,0,
41.884394,,-72.607254,9639,,,RTE 5 and Stoughton Rd,0,
41.769305,,-72.679121,9328,,,Church St and Opp Lincoln Financial Group,0,
41.914205,,-72.675304,9615,,,Poquonock Ave and Opp High St,0,
41.785342,,-72.674336,1095,,,Main St and Opp Elmer St,0,
41.764326,,-72.694601,12291_merged_914569,,,CT Fastrak and Sigourney St Station,0,
41.800518,,-72.689939,9322,,,Coventry St and Phillps Senior Housing,0,
