fromStop,toStop,dist,time
2,8203,0.586711935,
128,12531,0.441500124,
2141,2013,0.042904513,
12287_merged_914606,2899,0.598221812,
7881,2210,0.198581547,
12303_merged_914590,2071,0.224608389,
2977,2973,0.301366717,
2947,2950,0.458197304,
7779,2137,0.504151117,
296,1250,0.068933792,
436,2482,0.368960451,
640,137,0.185223929,
2200,2201,0.087940559,
411,9480,0.570650693,
2441,2436,0.529083444,
2094,43,0.495466748,
7784,938,0.520745265,
3027,3384,0.378935052,
1766,1805,0.441124222,
1157,7644,0.43148647,
7886,45,0.534091005,
7828,8130,0.064750701,
730,3248,0.373742952,
3029,9121,0.454342086,
679,58,0.456130333,
1372,2795,0.413979249,
1179,8022,0.397452881,
8822,8821,0.067198277,
2602,2544,0.160891501,
1618,584,0.347053904,
419,1302,0.053387984,
12316,12317,0.372295768,
2240,2952,0.317450776,
160,8974,0.263850697,
12051,9168,0.050197515,
915,3400,0.151693091,
7881,617,0.355747285,
2169,2168,0.181066091,
7832,8101,0.133314569,
2039,2112,0.218187418,
543,3147,0.454291482,
9175,1894,0.294937536,
7989,8767,0.497624288,
2151,483,0.320417767,
7680,9173,0.390808207,
1819,12075,0.280270315,
1156,1099,0.416165037,
3262,704,0.481940965,
3134,3118,0.262682589,
7573,2777,0.546975416,
616,677,0.100878967,
9686,3190,0.304290513,
2859,2975,0.166715207,
7912,2009,0.442359745,
2768,2635,0.187933092,
8797,8798,0.041448771,
2507,1996,0.483141441,
7782,12664,0.192050126,
2278,8009,0.549680227,
3125,3138,0.387579165,
1622,2762,0.345269823,
2846,1103,0.290016949,
592,483,0.467364923,
2308,1082,0.28824926,
1622,2642,0.220838066,
9406,2418,0.396860659,
2739,312,0.556901364,
414,1299,0.470987558,
1110,12710,0.265049393,
12296_merged_914560,1277,0.537965536,
12636,7609,0.229649948,
3251,3059,0.406354266,
2853,1131,0.583937255,
434,2330,0.261117941,
3357,3321,0.227271617,
1846,189,0.292763383,
8024,12514,0.398081637,
2762,8923,0.506005353,
10702,119,0.091927514,
2766,2506,0.281046977,
1999,473,0.538523155,
2980,8199,0.525701377,
405,427,0.553013114,
2272,2011,0.287184722,
1578,2506,0.283227508,
3233,3268,0.518914937,
2204,1169,0.580216441,
1140,2482,0.291150695,
1091,7644,0.270128816,
8284,323,0.174898145,
1997,473,0.462146329,
8590,3081,0.44915374,
10,8071,0.30689119,
3132,8177,0.547765217,
785,732,0.377778119,
3031,3029,0.363414929,
3029,715,0.597395588,
7783,1070,0.326606595,
164,598,0.379773763,
3352,3325,0.510416754,
1622,2638,0.335495968,
2066,2065,0.074837693,
2000,8005,0.58649004,
1083,1153,0.191676697,
3085,12144,0.339594743,
1839,203,0.548006175,
422,1355,0.515077535,
7860,87,0.508792405,
1619,2509,0.321772408,
2736,2328,0.549268871,
8032,7719,0.073317542,
12656,8699,0.245696281,
2713,2714,0.274743335,
254,255,0.024198915,
933,723,0.378217441,
9539,8950,0.495018318,
2737,8043,0.530935162,
390,389,0.054405683,
1173,472,0.481176362,
7733,7731,0.219213454,
8318,2010,0.461148454,
1032,976,0.201420681,
249,7557,0.566722437,
7765,7767,0.137344331,
687,606,0.138358451,
255,2560,0.212696555,
7663,1300,0.176340235,
237,2252,0.346724294,
595,2287,0.479977015,
7768,591,0.592311429,
154,982,0.104674571,
8032,8861,0.338385242,
12291_merged_914569,1179,0.42163843,
278,8212,0.341883494,
1486,1446,0.509658798,
904,910,0.379384941,
8063,7716,0.194382517,
1603,8911,0.490873381,
2088,2087,0.06635877,
510,562,0.025963139,
1815,1643,0.300912851,
1172,1577,0.426301883,
10702,613,0.578522608,
430,431,0.095520009,
12303_merged_914565,2068,0.445270683,
8269,307,0.447934971,
8026,163,0.413330701,
3264,3033,0.251582539,
12664,10667,0.182733046,
429,2354,0.580787797,
7983,8096,0.597483979,
2154,8917,0.592840583,
12586,2071,0.535492883,
613,33,0.431061579,
1356,2327,0.572770339,
664,2837,0.343507724,
2231,12442,0.506715338,
468,1353,0.53921665,
8207,2972,0.586526792,
8224,321,0.09344018,
2475,2474,0.06744736,
8057,7689,0.085771709,
605,2290,0.532133934,
275,2969,0.44759653,
1625,8028,0.578634392,
157,10667,0.518572421,
99,2865,0.426656431,
8009,478,0.583798819,
902,716,0.319095577,
429,437,0.491673286,
8316,1731,0.594886044,
3269,9018,0.35923762,
378, 7898_merged_914609,0.328841386,
7754,7684,0.529639506,
8115,3077,0.30815204,
7678,33,0.328597344,
9045,956,0.427458237,
1967,9036,0.20711411,
241,2332,0.587855305,
1386,1409,0.561707288,
2507,2762,0.286261516,
2897,2951,0.406453132,
2550,8640,0.254260195,
380,2204,0.321081461,
2045,2106,0.181407541,
2889,2957,0.084510929,
7758,598,0.540243504,
393,467,0.586501311,
1585,1613,0.423715453,
3208,3203,0.325151886,
12429,12416,0.130759101,
2143,7778,0.339985723,
1819,1314,0.52645884,
8859,8862,0.190785573,
2487,2486,0.085660332,
68,7753,0.592750374,
1289,7910,0.591621093,
2967,1256,0.145849134,
7764,7977,0.460567943,
2833,1586,0.569470167,
1145,9517,0.535902894,
2381,2491,0.133991112,
8637,8127,0.576561043,
12289_merged_914583,1272,0.353064285,
1610,531,0.358826227,
3103,3143,0.111415254,
1454,1462,0.561068209,
2008,8,0.391361837,
664,137,0.524492748,
532,531,0.361846354,
2280,2077,0.454613209,
36,3186,0.39091582,
3356,3320,0.578161033,
1258,1205,0.273570379,
1145,1084,0.478312912,
2882,2880,0.27774993,
1379,1544,0.353798488,
436,467,0.119951494,
2114,2034,0.471933481,
12685,8334,0.321282037,
385,464,0.528101676,
580,7912,0.58124043,
1506,1431,0.319101705,
9655,2333,0.589967814,
1429,1430,0.075549584,
2146,2148,0.220850385,
524,528,0.580624623,
244,425,0.181478696,
10,1292,0.409914887,
1097,1090,0.546603215,
1146,8982,0.320773201,
7787,7784,0.454228015,
270,8079,0.591874765,
8017,8020,0.384639147,
1952,1860,0.355544942,
1308,2350,0.45831529,
8024,605,0.240158662,
915,3056,0.272662421,
2266, 12299_merged_914593,0.107079957,
1578,2760,0.323489289,
436,2490,0.453947145,
971,965,0.595728305,
2274,2146,0.372800441,
3030,3387,0.327108913,
1213,1207,0.560879205,
1171,9101,0.202303104,
1005,998,0.516447034,
2543,1376,0.513518994,
601,2286,0.254365585,
1416,7939,0.495141942,
296,1249,0.109855272,
2597,2567,0.30437718,
2359,2357,0.295318376,
394,447,0.034023084,
3208,3033,0.347492494,
2404,2415,0.541105314,
121,2288,0.366139828,
938,8171,0.505526262,
7981,1929,0.577702461,
347,9416,0.598758909,
3125,3120,0.593612926,
8387,3389,0.564203631,
2381,2329,0.471166157,
8639,12493,0.525265254,
7753,8069,0.343394183,
8166,7786,0.213220259,
1143,12076,0.453449309,
8027,7926,0.339479157,
1064,8955,0.363600286,
408,442,0.457583563,
1573,7926,0.314589615,
2516,2520,0.384216159,
120,472,0.214581698,
52,1135,0.493291725,
2505,2723,0.548689081,
12676,12481,0.133228681,
2972,2975,0.264510366,
53,1294,0.574432603,
1621,2635,0.448500455,
2831,2632,0.245901042,
2267,7612,0.422036817,
1410,1529,0.44450822,
2735,2325,0.308469771,
1979,1840,0.195095794,
205,1964,0.309009398,
2078, 12563_merged_914572,0.088855285,
1758,1699,0.020833314,
7752,8203,0.397937217,
168,9658,0.565863545,
1846,1993,0.295412278,
1347,1643,0.390498185,
3184,706,0.307544674,
1213,300,0.397313963,
3259,931,0.433147015,
2083,2085,0.311892695,
1156,1136,0.38052758,
525,560,0.434744623,
2399,2395,0.440703642,
438,445,0.320395405,
8197,1068,0.423581589,
2841,2508,0.595455744,
2311,1075,0.480370637,
8166,945,0.474045347,
1155,1082,0.417299898,
294,1213,0.308518926,
1348,1320,0.263701702,
1306,2479,0.499766507,
2973,8209,0.441916674,
2485,403,0.189863505,
8196,3278,0.54486526,
2272,2144,0.19558721,
2445,2426,0.063355122,
1205,1256,0.048303841,
595,472,0.450024834,
1163,1135,0.200217983,
438,1354,0.459509414,
3257,716,0.377594645,
1659,1119,0.201895952,
2388,1352,0.29355981,
1110,1318,0.3646556,
9677,1901,0.48696303,
8253,8254,0.130403385,
2157,590,0.509758005,
434,2353,0.257040145,
2539,2606,0.1548934,
2545,2563,0.526891158,
2852,1732,0.344695247,
1146,2172,0.284701452,
1150,2294,0.301029574,
402,9484,0.572388956,
2949,2252,0.552171474,
2202,1152,0.31128545,
698,859,0.560464279,
610,9612,0.514713867,
7915,45,0.419803956,
2269,2141,0.529444413,
12287_merged_914606,1231,0.215426049,
2210,2285,0.336641902,
2207,12051,0.544756756,
1973,1839,0.264135084,
2151,477,0.468001822,
8193,8189,0.306818064,
7791,7790,0.137716732,
1999,482,0.472233521,
8181,3278,0.35813589,
1551,1390,0.460691811,
2270,8885,0.238263689,
7783,942,0.461517347,
2843,2799,0.206783689,
786_merged_914592,852,0.58321914,
8522,8516,0.422096379,
1425,1508,0.028211624,
3236,3267,0.412101439,
416,1299,0.380822318,
7678,4,0.370191701,
277,100,0.373198354,
103,8269,0.363019409,
8202,458,0.512604515,
2645,2321,0.56854118,
8284,8282,0.216441306,
7597,3133,0.39950912,
1170,1072,0.180647067,
3016,3067,0.566140562,
2306,1097,0.487179315,
411,429,0.013194187,
1584,2768,0.545102254,
2180,2387,0.351858424,
423,424,0.154808063,
2841,673,0.58337144,
1611,489,0.48713594,
363,8235,0.216866125,
429,1305,0.295144214,
2506,1581,0.319614346,
8028,7926,0.320927015,
3268,715,0.300177555,
9519,2914,0.380721431,
2310,2203,0.243543381,
7764,7760,0.335960168,
661,2631,0.574437258,
678,2759,0.519360093,
621,936,0.525781538,
384,461,0.306888599,
9125,7605,0.507279585,
2868,2966,0.410331007,
2397,2470,0.503033946,
1429,1428,0.109065172,
3060,9225,0.551796927,
3019,1603,0.588439842,
9,483,0.51269325,
2202,2501,0.348095776,
9053,84,0.083480413,
234,2897,0.30228769,
3015,8646,0.243991366,
2,1292,0.419835989,
1994,2290,0.261725683,
249,380,0.357295898,
3257,3186,0.18026737,
164,2210,0.461031882,
2839,2156,0.528287263,
3142,8116,0.57929268,
7838,8122,0.468200293,
2740,2651,0.243327148,
8132,8127,0.438302831,
8060,7683,0.163073188,
3083,3162,0.138076737,
1141,1145,0.35733645,
392,2366,0.238945432,
8387,909,0.498095385,
2865,1271,0.580072285,
1211,2963,0.30437825,
2157,2640,0.400257378,
430,2392,0.360955614,
1,615,0.420505835,
92,3098,0.385358808,
1958,1856,0.023800407,
430,2388,0.42657379,
416,7559,0.50904833,
413,2479,0.324595649,
8058, 12291_merged_914594,0.437277405,
412,2476,0.433068934,
8920,3380,0.53465215,
7854,3278,0.46508105,
491,1591,0.440286998,
2386,2328,0.487684386,
1153,8982,0.427391302,
1586,490,0.535925137,
2380,448,0.3325092,
2148,8004,0.163854786,
1393,2803,0.156642088,
9522,2923,0.123802217,
2203,2164,0.474582771,
8067,2976,0.584932464,
