block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_69769,8478,0,140F - CCSU SHUTTLE via Fenn Rd,100006,1_merged_914618,901257
a_68359,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882710
a_68355,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882711
a_68356,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882712
a_68358,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882713
a_68359,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882714
a_68360,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882715
a_68355,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882716
a_68356,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882717
a_68358,8339,1,121 - HARTFORD-MCC,98651,1_merged_914610,882718
a_68355,8339,1,121 - HARTFORD-MCC,98652,1_merged_914610,882719
a_68824,8379,0,905E/915 - WINDSOR-ENFIELD EXPRESS,99092,1_merged_914610,888747
a_68823,8379,0,905E - ENFIELD EXPRESS,99081,1_merged_914610,888746
a_69122,8379,0,905W-WINDSOR LOCKS EXPRESS-NORTH ST,99102,1_merged_914610,888741
a_68818,8379,0,905E - ENFIELD EXPRESS,99097,1_merged_914610,888740
a_69101,8379,0,905E - EAST WINDSOR-ENFIELD EXPRESS-Mass Mutual,99083,1_merged_914610,888743
a_69004,8379,0,915 - WINDSOR EXPRESS,99090,1_merged_914610,888742
b_69759,8477,0,128 - WESTFARMS-NEW BRITAIN via Stanley St,100003,3_merged_914619,901006
b_69771,8478,0,140 - CCSU SHUTTLE,100007,1_merged_914618,901256
b_69705,8473,0,101 - NEW BRITAIN,99976,1_merged_914618,900318
a_69005,8358,1,53 - WETHERSFIELD AV-Downtown Hartford,98844,1_merged_914610,886419
a_68527,8358,1,55 - HARTFORD-Silas Deane Hwy-Wethersfield Ave,98848,1_merged_914610,886418
a_68644,8358,1,53 - WETHERSFIELD AV-Downtown Hartford,98844,1_merged_914610,886417
a_68479,8358,1,55x - HARTFORD-Silas Deane Hwy Express to Downtown Hartford,98846,1_merged_914610,886416
a_68636,8358,1,55X - HARTFORD-Silas Deane Hwy Express To Downtown,98847,1_merged_914610,886415
a_69048,8358,1,55X - HARTFORD-Silas Deane Hwy Express To Downtown,98847,1_merged_914610,886414
a_69055,8358,1,55 - HARTFORD-Silas Deane Hwy-Wethersfield Ave,98842,1_merged_914610,886413
a_68634,8358,1,53 - WETHERSFIELD AV-Downtown Hartford,98844,1_merged_914610,886412
a_68637,8358,1,55 - HARTFORD-Silas Deane Hwy-Wethersfield Ave,98845,1_merged_914610,886411
a_68633,8358,1,53 - WETHERSFIELD AV-Downtown Hartford,98844,1_merged_914610,886410
b_69980,8494,1,50 - BLUE HILLS AV-Downtown Hartford,100180,2_merged_914620,904203
b_69891,8494,1,50 - BLUE HILLS AV-Downtown Hartford,100180,2_merged_914620,904202
b_69806,8494,1,50 - BLUE HILLS AV-Downtown Hartford,100180,2_merged_914620,904201
b_69837,8494,1,50 - BLUE HILLS AV-Downtown Hartford,100180,2_merged_914620,904200
b_69987,8494,1,50 - BLUE HILLS AV-Downtown Hartford,100180,2_merged_914620,904207
a_68397,8343,1,153 - COPACO-Bishops Corner via West Hartford Ctr,98663,1_merged_914610,883368
b_69981,8494,1,50 - BLUE HILLS AV-Downtown Hartford,100180,2_merged_914620,904205
b_69991,8494,1,52 - BLUE HILLS AV-Downtown Hartford,100175,2_merged_914620,904204
b_70018,8497,1,56 - BLOOMFIELD AV-Downtown Hartford,100212,2_merged_914620,904759
b_70017,8497,1,58 - ALBANY AV-Downtown Hartford,100208,2_merged_914620,904758
b_69980,8494,1,50 - BLUE HILLS AV-Downtown Hartford,100180,2_merged_914620,904209
a_68737,8370,1,84 - TOLLAND ST-Downtown Hartford,98962,1_merged_914610,888197
b_70032,8497,0,58 - ALBANY AV-Bishops Corner,100200,1_merged_914618,904818
b_69687,8473,0,101 - NEW BRITAIN,99976,2_merged_914620,900041
a_68738,8370,1,82 - TOLLAND ST-Downtown Hartford,98967,1_merged_914610,888198
b_69685,8473,0,101 - NEW BRITAIN,99976,2_merged_914620,900043
b_69688,8473,0,101 - NEW BRITAIN,99976,2_merged_914620,900042
b_69688,8473,0,101 - NEW BRITAIN,99976,2_merged_914620,900045
b_69687,8473,0,101 - NEW BRITAIN,99976,2_merged_914620,900044
b_69687,8473,0,101 - NEW BRITAIN,99976,2_merged_914620,900047
a_68746,8370,1,82 - TOLLAND ST-Downtown Hartford,98965,8401_merged_914614,888199
b_69685,8473,0,101 - NEW BRITAIN,99976,2_merged_914620,900049
b_69688,8473,0,101 - NEW BRITAIN,99976,2_merged_914620,900048
b_70025,8497,1,58 - ALBANY AV-Downtown Hartford,100208,1_merged_914618,904868
b_69771,8478,0,140 - CCSU SHUTTLE,100007,1_merged_914618,901254
b_69837,8485,1,39 - NEW BRITAIN AV-Downtown Hartford via Retreat Ave,100079,2_merged_914620,902608
b_69905,8497,0,56B - BLOOMFIELD AV-Bloomfield Ctr,100206,1_merged_914618,904812
b_69765,8477,1,128 - WESTFARMS-HARTFORD via Stanley St,100004,1_merged_914618,901111
b_70022,8497,0,56D - BLOOMFIELD AV-Bloomfield Ctr-Woodside Village,100205,1_merged_914618,904813
a_69107,8379,0,905E - ENFIELD EXPRESS-Mass Mutual,99082,1_merged_914610,888749
a_68817,8379,0,905/915 - WINDSOR-WINDSOR LOCKS-ENFIELD EXPRESS,99099,1_merged_914610,888748
b_70119,8508,0,83C - SILVER LA-Buckland Hills Mall via MCC,100328,2_merged_914620,906410
b_69771,8478,0,140 - CCSU SHUTTLE,100007,1_merged_914618,901253
a_69096,8379,0,905E - ENFIELD EXPRESS-MASS MUTUAL EXPRESS,99091,1_merged_914610,888745
a_68479,8352,0,43 - CAMPFIELD AV-Jordan Ln-Wolcott Hill Park & Ride,98763,1_merged_914610,885298
