bg,stop_id,direction,dist
90035018003,250,access,0.000726122
90035018003,250,egress,0.000726122
90035039001,2350,access,0.000804533
90035039001,2350,egress,0.000804533
90035040001,1352,access,0.000849566
90035040001,1352,egress,0.000849566
90035039001,2334,access,0.001080855
90035039001,2334,egress,0.001080855
90035018003,249,access,0.002118752
90035018003,249,egress,0.002118752
90034946001,12533,access,0.003063958
90034946001,12533,egress,0.003063958
90035108002,1839,access,0.004880267
90035108002,1839,egress,0.004880267
90035108002,1981,access,0.004922625
90035108002,1981,egress,0.004922625
90035146003,8182,access,0.004988594
90035146003,8182,egress,0.004988594
90035043002,1270,access,0.005316703
90035043002,1270,egress,0.005316703
90035013002,2295,access,0.006144975
90035013002,2295,egress,0.006144975
90035005002,7880,access,0.006185018
90035005002,7880,egress,0.006185018
90035246001,459,access,0.006222327
90035246001,459,egress,0.006222327
90034738002,9280,access,0.007082006
90034738002,9280,egress,0.007082006
90035040001,1351,access,0.00787782
90035040001,1351,egress,0.00787782
90035040001,1311,access,0.008351464
90035040001,1311,egress,0.008351464
90035112003,3233,access,0.008462754
90035112003,3233,egress,0.008462754
90034965001,303,access,0.008954623
90034965001,303,egress,0.008954623
90035040002,2491,access,0.009536336
90035040002,2491,egress,0.009536336
90035018003,1145,access,0.01052768
90035018003,1145,egress,0.01052768
90035031005,98,access,0.011651937
90035031005,98,egress,0.011651937
90035040002,2379,access,0.012613847
90035040002,2379,egress,0.012613847
90035013002,1162,access,0.012667702
90035013002,1162,egress,0.012667702
90035039001,2333,access,0.012738243
90035039001,2333,egress,0.012738243
90035039001,2351,access,0.01314099
90035039001,2351,egress,0.01314099
90035003002,2210,access,0.013197706
90035003002,2210,egress,0.013197706
90034969003,1258,access,0.013703935
90034969003,1258,egress,0.013703935
90035042001,8207,access,0.013713818
90035042001,8207,egress,0.013713818
90035103003,734,access,0.013900262
90035103003,734,egress,0.013900262
90035029001,1288,access,0.014301877
90035029001,1288,egress,0.014301877
90034965001,304,access,0.014351983
90034965001,304,egress,0.014351983
90034969003,1203,access,0.015078826
90034969003,1203,egress,0.015078826
90034901003,1385,access,0.015086765
90034901003,1385,egress,0.015086765
90034946001,2932,access,0.015608855
90034946001,2932,egress,0.015608855
90035018002,2165,access,0.01569277
90035018002,2165,egress,0.01569277
90035013002,1081,access,0.015926792
90035013002,1081,egress,0.015926792
90034941002,2926,access,0.016041813
90034941002,2926,egress,0.016041813
90035003002,2290,access,0.016275834
90035003002,2290,egress,0.016275834
90075417002,183,access,0.017554203
90075417002,183,egress,0.017554203
90035037001,1164,access,0.017685739
90035037001,1164,egress,0.017685739
90035039001,2352,access,0.017993545
90035039001,2352,egress,0.017993545
90035039001,2332,access,0.018082674
90035039001,2332,egress,0.018082674
90034965001,305,access,0.018992674
90034965001,305,egress,0.018992674
90035029001,9524,access,0.019159082
90035029001,9524,egress,0.019159082
90034901003,1549,access,0.019615986
90034901003,1549,egress,0.019615986
90035112003,3211,access,0.019868555
90035112003,3211,egress,0.019868555
90035244001,1107,access,0.021304889
90035244001,1107,egress,0.021304889
90034941002,2925,access,0.021634285
90034941002,2925,egress,0.021634285
90035005002,7881,access,0.022033281
90035005002,7881,egress,0.022033281
90035018003,2313,access,0.023182264
90035018003,2313,egress,0.023182264
90035043002,7670,access,0.02432522
90035043002,7670,egress,0.02432522
90034965001,306,access,0.024348727
90034965001,306,egress,0.024348727
90035039003,2478,access,0.024863418
90035039003,2478,egress,0.024863418
90035145004,3089,access,0.025035164
90035145004,3089,egress,0.025035164
90035145004,3175,access,0.02526993
90035145004,3175,egress,0.02526993
90035039001,2353,access,0.025572887
90035039001,2353,egress,0.025572887
90035039001,2331,access,0.02595452
90035039001,2331,egress,0.02595452
90035021002,611,access,0.026620427
90035021002,611,egress,0.026620427
90034971001,8215,access,0.027378075
90034971001,8215,egress,0.027378075
90135303011,3312,access,0.028112723
90135303011,3312,egress,0.028112723
90035146003,7827,access,0.029012302
90035146003,7827,egress,0.029012302
90034965001,307,access,0.029463961
90034965001,307,egress,0.029463961
90034901003,1550,access,0.030485948
