service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20200322,20200815
10,1,1,1,1,1,0,0,20200322,20200815
11,0,0,0,0,0,1,0,20200322,20200815
12,0,0,0,0,0,0,1,20200322,20200815
13,0,0,0,0,0,0,0,20200322,20200815
14,1,1,1,1,1,0,0,20180624,20200730
15,0,0,0,0,0,1,0,20180624,20200730
16,0,0,0,0,0,0,1,20180624,20200730
17,0,0,0,0,0,0,0,20180624,20200730
2,0,0,0,0,0,1,0,20200322,20200815
22,1,1,1,1,1,0,0,20190915,20200926
23,0,0,0,0,0,1,0,20190915,20200926
24,0,0,0,0,0,0,1,20190915,20200926
25,0,0,0,0,0,0,0,20190915,20200926
3,0,0,0,0,0,0,1,20200322,20200815
4,0,0,0,0,0,0,0,20200322,20200815
6,1,1,1,1,1,0,0,20200322,20200815
7,0,0,0,0,0,1,0,20200322,20200815
8,0,0,0,0,0,0,1,20200322,20200815
9,0,0,0,0,0,0,0,20200322,20200815
