route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
10827,google-wa-me_transit,215*,,,3,,008000,FFFFFF
10828,google-wa-me_transit,291,,,3,,000000,FFFFFF
10829,google-wa-me_transit,292,,,3,,800080,FFFFFF
10830,google-wa-me_transit,411,,,3,,000080,FFFFFF
10831,google-wa-me_transit,412,,,3,,800080,FFFFFF
10832,google-wa-me_transit,413,,,3,,008080,FFFFFF
10833,google-wa-me_transit,416,,,3,,808000,FFFFFF
10834,google-wa-me_transit,417,,,3,,FF8000,FFFFFF
10835,google-wa-me_transit,418,,,3,,800080,FFFFFF
10836,google-wa-me_transit,421,,,3,,FF80FF,FFFFFF
10837,google-wa-me_transit,422,,,3,,408000,FFFFFF
10838,google-wa-me_transit,425,,,3,,008080,FFFFFF
10839,google-wa-me_transit,426,,,3,,000080,FFFFFF
10840,google-wa-me_transit,428,,,3,,FF00FF,FFFFFF
10841,google-wa-me_transit,431,,,3,,FF0000,FFFFFF
10842,google-wa-me_transit,432,,,3,,0000FF,FFFFFF
10843,google-wa-me_transit,433,,,3,,800080,FFFFFF
10844,google-wa-me_transit,436,,,3,,808000,FFFFFF
10845,google-wa-me_transit,441,,,3,,3CC4A5,FFFFFF
10846,google-wa-me_transit,442,,,3,,FF0080,FFFFFF
10847,google-wa-me_transit,444,,,3,,00DD6F,FFFFFF
10848,google-wa-me_transit,445,,,3,,008080,FFFFFF
10849,google-wa-me_transit,446,,,3,,0000FF,FFFFFF
10850,google-wa-me_transit,447,,,3,,FF0000,FFFFFF
10851,google-wa-me_transit,450,,,3,,000000,FFFFFF
10852,google-wa-me_transit,460,,,3,,8000FF,FFFFFF
10853,google-wa-me_transit,470,,,3,,FF0000,FFFFFF
10854,google-wa-me_transit,471,,,3,,BC7A7A,FFFFFF
10855,google-wa-me_transit,472,,,3,,0000A0,FFFFFF
10856,google-wa-me_transit,473,,,3,,000000,FFFFFF
10857,google-wa-me_transit,479,,,3,,00FF00,FFFFFF
10858,google-wa-me_transit,561,,,3,,FF0000,FFFFFF
10859,google-wa-me_transit,563,,,3,,0000FF,FFFFFF
10860,google-wa-me_transit,564,,,3,,0000FF,FFFFFF
10861,google-wa-me_transit,565,,,3,,00FF00,FFFFFF
10862,google-wa-me_transit,566,,,3,,00FF00,FFFFFF
10911,google-wa-me_transit,480,,,3,,0000A0,FFFFFF
11388,googlestam_transit,311,,,3,,FD0000,FFFFFF
11389,googlestam_transit,312,,,3,,800080,FFFFFF
11390,googlestam_transit,313,,,3,,FF8080,FFFFFF
11391,googlestam_transit,321,,,3,,5555FF,FFFFFF
11392,googlestam_transit,324,,,3,,800080,FFFFFF
11393,googlestam_transit,326,,,3,,C53A87,FFFFFF
11394,googlestam_transit,327,,,3,,5CA36C,FFFFFF
11395,googlestam_transit,328,,,3,,FF8040,FFFFFF
11396,googlestam_transit,331,,,3,,0000FF,FFFFFF
11397,googlestam_transit,333,,,3,,800040,FFFFFF
11398,googlestam_transit,334,,,3,,FF0000,FFFFFF
11399,googlestam_transit,335,,,3,,808080,FFFFFF
11400,googlestam_transit,336,,,3,,0000A0,FFFFFF
11401,googlestam_transit,341,,,3,,0080FF,FFFFFF
11402,googlestam_transit,342,,,3,,808000,FFFFFF
11403,googlestam_transit,344,,,3,,FF00FF,FFFFFF
11404,googlestam_transit,345,,,3,,066A5E,FFFFFF
11405,googlestam_transit,351,,,3,,000000,FFFFFF
11406,googlestam_transit,355,,,3,,800040,FFFFFF
11407,googlestam_transit,971,,,3,,0000A8,FFFFFF
11409,googleha_transit,101,,,3,,FF0000,FFFFFF
11410,googleha_transit,102,,,3,,00E100,FFFFFF
11411,googleha_transit,121,,,3,,0000FF,FFFFFF
11412,googleha_transit,128,,,3,,950095,FFFFFF
11413,googleha_transit,140,,,3,,0000FF,FFFFFF
11414,googleha_transit,144,,,3,,804040,FFFFFF
11415,googleha_transit,153,,,3,,FF8040,FFFFFF
11416,googleha_transit,160,,,3,,000000,FFFFFF
11417,googleha_transit,161,,,3,,8000FF,FFFFFF
11418,googleha_transit,30,,,3,,000080,FFFFFF
